Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy
0.0,0.0,0.0,1.0,,0.0,
0.0,0.0,0.0,0.99,,0.0,
0.0,0.0,0.0,0.98,,0.0,
0.0,0.0,0.0,0.97,,0.0,
0.0,0.0,0.0,0.96,,0.0,
0.0,0.0,0.0,0.95,,0.0,
0.0,0.0,0.0,0.92,,0.0,
0.0,0.0,0.0,0.88,,0.0,
0.0,0.0,0.0,0.84,,0.0,
0.0,0.0,0.0,0.8,,0.0,
0.0,0.0,0.0,0.76,,0.0,
1.6666666666666667e-05,0.0,5e-06,0.72,0.34299999999999997,0.00020107216999987106,-0.377
0.0,0.0,0.0,0.68,,0.0,
8.333333333333334e-06,0.0,2.5e-06,0.64,0.26300000000000023,0.00010063682256005576,-0.3769999999999998
5.833333333333333e-05,0.0,1.7500000000000002e-05,0.6,0.22299999999999986,0.0007002267803953424,-0.3770000000000001
0.00044166666666666665,0.0,0.0001325,0.56,0.183,0.005257594000232098,-0.37700000000000006
0.003575,0.0,0.0010724999999999999,0.52,0.14300000000000002,0.04280933281110982,-0.377
0.006841666666666666,0.0,0.0020525,0.5,0.12299999999999961,0.07907485445437312,-0.3770000000000004
0.014666666666666666,0.0,0.0044,0.48,0.10300000000000004,0.1858003558856524,-0.37699999999999995
0.03348333333333333,0.0,0.010045,0.46,0.08299999999999991,0.432937394427037,-0.3770000000000001
0.07433333333333333,7.142857142857143e-06,0.022305000000000002,0.44,0.06310167635835245,0.7817150045775149,-0.37689832364164755
0.14966666666666667,0.0,0.0449,0.42,0.04300000000000154,1.4931724111252953,-0.37699999999999845
0.288375,1.4285714285714285e-05,0.0865225,0.4,0.02327686669515827,2.7801671719662684,-0.37672313330484175
0.47134166666666666,0.00010714285714285714,0.1414775,0.38,0.003149883248592167,3.0698480998478455,-0.37685011675140784
0.6634166666666667,0.00011785714285714286,0.1991075,0.36,-0.016796039344576352,2.6894461489239627,-0.37679603934457634
0.8142166666666667,0.00019285714285714286,0.2444,0.34,-0.03651588667265404,1.662612987247431,-0.37651588667265407
0.9104333333333333,0.0004642857142857143,0.273455,0.32,-0.054885759246709964,1.0641992411641072,-0.37488575924670997
0.9575166666666667,0.0007714285714285715,0.28779499999999997,0.3,-0.06814458345068697,0.4394248932987763,-0.36814458345068696
0.9803499999999999,0.0020107142857142854,0.2955125,0.28,-0.050306327666758355,0.32608496367000633,-0.3303063276667584
0.9906,0.004428571428571428,0.30028,0.26,0.017420665419079884,0.2550127009915799,-0.24257933458092013
0.996325,0.009992857142857144,0.3058925,0.24,0.08038005592119257,0.3307769162701636,-0.15961994407880742
0.9983333333333333,0.0225,0.31525,0.22,0.0847876588021243,0.5550639562621691,-0.1352123411978757
0.9991749999999999,0.05068214285714286,0.33523000000000003,0.2,0.07193377741022225,1.112700346859567,-0.12806622258977776
0.9995166666666666,0.10571785714285714,0.3738575,0.18,0.052651377632462915,2.6363171597165804,-0.12734862236753708
0.9999333333333333,0.20930714285714286,0.44649500000000003,0.16,0.03307747578739817,4.621073249906517,-0.12692252421260183
0.999925,0.3714571428571428,0.5599975,0.14,0.013000034302485447,6.6076786802251375,-0.12699996569751457
0.9998833333333333,0.4693392857142857,0.6285025000000001,0.13,0.0028655401253741275,6.295916079165217,-0.12713445987462588
0.999975,0.5706749999999999,0.699465,0.12,-0.007055430982215366,6.5233819936043735,-0.12705543098221536
0.9999916666666666,0.6649321428571429,0.76545,0.11,-0.01705354354530096,5.728904749010355,-0.12705354354530096
0.9999916666666666,0.7450928571428571,0.8215625,0.1,-0.027011740054929928,5.6310659121826365,-0.12701174005492993
1.0,0.817875,0.8725125,0.09,-0.03700000000008316,4.140210464940106,-0.12700000000008316
1.0,0.8696714285714287,0.90877,0.08,-0.04700000000005049,3.1625485152089543,-0.1270000000000505
0.9999666666666667,0.9097178571428571,0.9367924999999999,0.07,-0.0571577746952229,2.373267213228373,-0.1271577746952229
1.0,0.9379142857142857,0.95654,0.06,-0.0669999999999612,1.6745145255502691,-0.1269999999999612
1.0,0.971217857142857,0.9798524999999999,0.04,-0.08699999999995042,0.7685791289505242,-0.12699999999995043
1.0,0.98695,0.990865,0.02,-0.10700000000186201,0.3649000522223512,-0.127000000001862
1.0,0.9941107142857143,0.9958775,-0.0,-0.12700000000232917,0.16297312402486042,-0.12700000000232917
